traj,em_collapsed,em_step,em_type,lam_collapsed,lam_step,lam_type
683,1,276,1,1,277,1
684,0,-1,0,0,-1,0
685,1,281,1,1,282,1
686,0,-1,0,0,-1,0
687,1,272,1,1,274,1
688,1,300,1,1,302,1
689,0,-1,0,0,-1,0
690,0,-1,0,0,-1,0
691,0,-1,0,0,-1,0
692,1,281,1,1,283,3
693,0,-1,0,0,-1,0
694,0,-1,0,0,-1,0
695,1,272,1,1,275,1
696,0,-1,0,0,-1,0
697,1,280,1,1,283,3
698,1,312,1,1,313,1
699,0,-1,0,0,-1,0
700,0,-1,0,0,-1,0
701,0,-1,0,0,-1,0
702,0,-1,0,0,-1,0
703,1,278,1,1,318,1
704,1,296,1,1,295,3
705,0,-1,0,0,-1,0
706,0,-1,0,0,-1,0
707,0,-1,0,0,-1,0
708,1,305,1,1,309,3
709,0,-1,0,0,-1,0
710,0,-1,0,0,-1,0
711,0,-1,0,0,-1,0
712,0,-1,0,0,-1,0
713,0,-1,0,0,-1,0
714,1,476,1,1,442,1
715,0,-1,0,0,-1,0
716,1,277,1,1,281,1
717,1,369,1,1,371,3
718,0,-1,0,0,-1,0
719,0,-1,0,0,-1,0
720,1,281,1,1,285,1
721,0,-1,0,0,-1,0
722,1,277,1,1,281,1
723,0,-1,0,0,-1,0
724,1,284,1,1,288,1
725,0,-1,0,0,-1,0
726,0,-1,0,0,-1,0
727,1,270,1,1,278,3
728,0,-1,0,0,-1,0
729,1,290,3,1,291,3
730,1,283,3,1,287,3
731,0,-1,0,0,-1,0
732,1,287,1,1,291,3
733,0,-1,0,0,-1,0
734,0,-1,0,0,-1,0
735,1,300,1,1,302,1
736,0,-1,0,0,-1,0
737,0,-1,0,0,-1,0
738,1,272,1,1,273,1
739,0,-1,0,0,-1,0
740,0,-1,0,0,-1,0
741,1,275,1,1,277,1
742,0,-1,0,0,-1,0
743,1,292,1,1,283,1
744,0,-1,0,0,-1,0
745,0,-1,0,0,-1,0
746,1,288,1,1,283,1
747,1,285,1,1,289,1
748,0,-1,0,0,-1,0
749,0,-1,0,0,-1,0
750,1,265,1,1,268,1
751,0,-1,0,0,-1,0
752,1,431,1,1,460,1
753,1,296,1,1,302,1
754,0,-1,0,0,-1,0
755,0,-1,0,0,-1,0
756,1,295,1,1,297,1
757,0,-1,0,0,-1,0
758,0,-1,0,0,-1,0
759,0,-1,0,0,-1,0
760,0,-1,0,0,-1,0
761,1,291,1,1,288,1
762,1,288,1,1,291,1
763,1,281,1,1,282,1
764,1,270,1,1,271,1
765,0,-1,0,0,-1,0
766,1,309,1,1,311,1
767,1,283,1,1,285,3
768,0,-1,0,0,-1,0
769,0,-1,0,0,-1,0
770,0,-1,0,0,-1,0
771,0,-1,0,0,-1,0
772,0,-1,0,0,-1,0
773,0,-1,0,0,-1,0
774,1,297,3,1,302,1
775,0,-1,0,0,-1,0
776,1,274,1,1,277,1
777,0,-1,0,0,-1,0
778,1,287,1,1,289,1
779,1,279,1,1,282,1
780,0,-1,0,0,-1,0
781,1,288,1,1,290,1
782,0,-1,0,0,-1,0
783,0,-1,0,0,-1,0
784,0,-1,0,0,-1,0
785,0,-1,0,0,-1,0
786,1,311,1,1,311,1
787,0,-1,0,0,-1,0
788,0,-1,0,0,-1,0
789,0,-1,0,0,-1,0
790,1,327,3,1,322,3
791,0,-1,0,0,-1,0
792,1,368,1,1,370,1
793,0,-1,0,0,-1,0
794,0,-1,0,0,-1,0
795,0,-1,0,0,-1,0
796,1,330,1,1,329,1
797,0,-1,0,0,-1,0
798,0,-1,0,0,-1,0
799,0,-1,0,0,-1,0
800,1,302,3,1,300,3
801,0,-1,0,0,-1,0
802,0,-1,0,0,-1,0
803,1,351,1,1,358,3
804,1,279,1,1,292,3
805,1,331,1,1,334,1
806,0,-1,0,0,-1,0
807,0,-1,0,0,-1,0
