level,J,mult,seed_idx,collapsed,collapse_step,collapse_type,final_m,final_wealth,final_EC
L2,0.5,30,14,1,333,2,-0.26633805262948573,0.0,0.5694325573230727
L2,0.5,30,15,1,297,2,-0.127554870403545,0.0,0.25123275908206866
L2,0.5,30,16,1,323,3,-0.5037052594810578,0.0,0.07279592294596696
L2,0.5,30,17,1,338,2,0.3755180727648829,0.0,0.19439694366113747
L2,0.5,30,18,1,314,2,0.04469858436218045,0.0,0.44290021754884557
L2,0.5,30,19,1,297,2,0.04359029820918511,0.0,0.30861081460935924
L2,0.5,30,20,1,363,3,-0.13066609011523148,0.0,0.39377934368601
L2,0.5,30,21,1,338,3,-0.09112036474072235,0.0,0.14911487315076555
L2,0.5,30,22,1,313,2,0.18701318236300013,0.0,0.2557039858593602
L2,0.5,30,23,1,335,2,-0.2061721570490634,0.0,0.14925333954836079
L2,0.5,30,24,1,311,2,0.7933859376362478,0.0,0.08603060621545341
L2,0.5,30,25,1,321,3,0.15378212732549928,0.0,0.21504719834800268
L2,0.5,30,26,1,362,3,-0.28259100543861465,0.0,0.0880464146044822
L2,0.5,30,27,1,335,2,-0.06476877587441995,0.0,0.10916140388240105
L2,0.5,30,28,1,428,3,-0.6634416249771042,0.0,0.108571766400724
L2,0.5,30,29,1,331,3,0.3004148981635806,0.0,0.21196083317228642
L2,0.5,30,30,1,333,3,0.04441099604710143,0.0,0.24126110211409485
L2,0.5,30,31,1,334,3,-0.7595732651117197,0.0,0.07541558934159079
L2,0.5,30,32,1,324,2,0.1289574196959545,0.0,0.5326663267426479
L2,0.5,30,33,1,294,2,0.01802156759011346,0.0,0.18111124036821466
L2,0.5,30,34,1,298,2,-0.198670045762392,0.0,0.14307004374519666
L2,0.5,30,35,1,327,2,-0.30106524656220424,0.0,0.43698129708690264
L2,0.5,30,36,1,290,2,0.2533430890979478,0.0,0.4589846293111569
L2,0.5,30,37,1,308,2,0.013312836255257372,0.0,0.40162447503168947
L2,0.5,30,38,1,351,3,0.3623418983969314,0.0,0.31106889581832103
L2,0.5,30,39,1,316,2,0.30973006171863576,0.0,0.14136729607955442
L2,0.5,30,40,1,299,2,-0.11932004146240897,0.0,0.25521001137440663
L2,0.5,30,41,1,324,2,0.08846928916787211,0.0,0.6164020180983603
L2,0.5,30,42,1,329,3,0.06332797301971879,0.0,0.3591374553886489
L2,0.5,30,43,1,328,2,-0.1551105614644337,0.0,0.28595740705327155
L2,0.5,30,44,1,329,2,-0.28820401324181744,0.0,0.8514028104434668
L2,0.5,30,45,1,322,3,0.6437171957857856,0.0,0.07499177718680756
L2,0.5,30,46,1,303,2,0.902456166504052,0.0,0.06828538678166983
L2,0.5,30,47,1,343,2,0.3619367045800918,0.0,0.10193972389247306
L2,0.5,30,48,1,340,3,0.03668691339759157,0.0,0.5162106579684868
L2,0.5,30,49,1,321,3,0.23604495482257043,0.0,0.12086264076531363
L2,0.5,30,50,1,276,2,-0.30343462907024304,0.0,0.12367490598755092
L2,0.5,30,51,1,296,2,-0.27411797047333025,0.0,0.5796490032283473
L2,0.5,30,52,1,280,3,0.5768180447941046,0.0,0.08443200638961006
L2,0.5,30,53,1,366,3,-0.0926267515590144,0.0,0.8312027997467095
L2,0.5,30,54,1,337,3,0.7102421757729498,0.0,0.13096229245735425
L2,0.5,30,55,1,319,2,-0.2239492944649927,0.0,0.42234060667179985
L2,0.5,30,56,1,342,2,-0.12318243906603432,0.0,0.28819697067654504
L2,0.5,30,57,1,301,3,0.1977791978174846,0.0,0.1172194242981379
L2,0.5,30,58,1,293,2,0.5918654607353222,0.0,0.07161728371384832
L2,0.5,30,59,1,316,3,0.2655086710508296,0.0,0.10495645992842964
L2,0.5,30,60,1,330,3,-0.6390609274844913,0.0,0.10957719808677131
L2,0.5,30,61,1,330,2,0.4303163684299737,0.0,0.08344509993524733
L2,0.5,30,62,1,315,3,0.788920141809265,0.0,0.07128397632939389
L2,0.5,30,63,1,284,2,0.5935989156785606,0.0,0.5350894292382152
L2,0.5,30,64,1,279,3,0.17902917392768333,0.0,0.14382528090720434
L2,0.5,30,65,1,345,2,-0.1522225465789313,0.0,0.18644448133328725
L2,0.5,30,66,1,289,2,-0.029155256026744878,0.0,0.3446301926437526
L2,0.5,30,67,1,285,2,-0.529372859241134,0.0,0.11195563801277822
L2,0.5,30,68,1,329,3,-0.1363168836191556,0.0,0.26734060966288875
L2,0.5,30,69,1,360,3,0.0536037130564012,0.0,0.15623911786083636
L2,0.5,30,70,1,290,2,-0.015841124392211352,0.0,0.6232168549619007
L2,0.5,30,71,1,320,2,0.257105310110484,0.0,0.727104790718857
L2,0.5,30,72,1,296,2,-0.2770683034443256,0.0,0.11125757256789971
L2,0.5,30,73,1,326,1,-0.16877612092231598,0.0,0.12103444753062483
L2,0.5,30,74,1,298,2,-0.09859658706528507,0.0,0.8219587067392983
L2,0.5,30,75,1,305,2,-0.3285005244971887,0.0,0.07440661723331865
L2,0.5,30,76,1,347,2,0.1442847410807403,0.0,0.28854613454021755
L2,0.5,30,77,1,329,3,0.15993401752872902,0.0,0.2996188399105425
L2,0.5,30,78,1,298,3,0.3193318828282802,0.0,0.7852502843115597
L2,0.5,30,79,1,315,3,0.15720107955701743,0.0,0.10021939103524673
L2,0.5,30,80,1,348,3,-0.32652206904117265,0.0,0.9291372459784677
L2,0.5,30,81,1,329,2,0.530544418357666,0.0,0.07703960190206009
L2,0.5,30,82,1,298,3,-0.8927426151374974,0.0,0.057396240160272734
