schedule,mult,seed_idx,collapsed,collapse_step,collapse_J,collapse_type,final_m,final_wealth
linear,50,60,1,427,0.5640499999999999,3,0.999999,954.1784401398169
linear,50,61,0,-1,,0,0.9997854019911832,985.8271048488643
linear,50,62,1,573,0.58595,3,0.999999,988.6053270173638
linear,50,63,1,953,0.64295,2,0.999999,955.9800304405737
linear,50,64,0,-1,,0,0.9897146286921672,981.4048731457494
linear,50,65,0,-1,,0,0.80280115399597,982.954314620726
linear,50,66,0,-1,,0,0.9999823348907017,977.3057789660405
linear,50,67,1,580,0.587,3,0.999999,991.5507931894981
linear,50,68,0,-1,,0,0.999982431800278,985.4816850574317
linear,50,69,1,581,0.5871500000000001,2,0.9213970614324926,954.2690669925541
linear,50,70,0,-1,,0,0.9998488704544183,985.2417965457792
linear,50,71,1,1012,0.6517999999999999,2,0.999999,975.839309698769
linear,50,72,1,552,0.5828,3,0.9998366930416441,988.7787185301268
linear,50,73,0,-1,,0,0.999999,975.4084727968611
linear,50,74,1,683,0.60245,2,0.9998786313031529,980.6780264732731
linear,50,75,0,-1,,0,0.9999344022959364,985.1346416010668
linear,50,76,0,-1,,0,0.999999,987.2920090734184
linear,50,77,1,370,0.5555,3,0.999999,979.4812089941257
linear,50,78,1,490,0.5735,2,0.999999,978.9341238985195
